word,pos,lang_code
wlać,verb,pl
ziółko,noun,pl
tarbuszu,noun,pl
sowieccy,adj,pl
kromką,noun,pl
walijskich,adj,pl
mulczowałem,verb,pl
rybach,noun,pl
oczeretniak,noun,pl
albowiem,conj,pl
pilnowałbyś,verb,pl
alfabetycznie,adv,pl
katalońsku,adj,pl
podroczyć,verb,pl
póno,particle,pl
asfiksja,noun,pl
zgnij,verb,pl
fretkami,noun,pl
zboczony,adj,pl
stęchnę,verb,pl
samobiczowanie,noun,pl
durnym,adj,pl
dymisja,noun,pl
posprzątać,verb,pl
bydgoskimi,adj,pl
pompować,verb,pl
jadło,verb,pl
denerwowali,verb,pl
przepołowić,verb,pl
mucho,noun,pl
narzutami,noun,pl
zawczasu,adv,pl
filozoficzny,adj,pl
pięćset,num,pl
błądziłabym,verb,pl
wysyłałby,verb,pl
ślusarstwo,noun,pl
zazula,noun,pl
myszleć,verb,pl
skromnemu,adj,pl
pach,intj,pl
grudki,noun,pl
nowotestamentalny,adj,pl
wydobywać,verb,pl
dżungli,noun,pl
alternować,verb,pl
aliteracyjny,adj,pl
filować,verb,pl
wszom,noun,pl
autorsko,adv,pl
udamy,verb,pl
augment,noun,pl
pierwszego,num,pl
wyjmowała,verb,pl
bledszy,adj,pl
niepiśmienny,adj,pl
łazaret,noun,pl
bezwład,noun,pl
posiadany,verb,pl
nagradzając,verb,pl
pamiętałyśmy,verb,pl
tworzę,verb,pl
formułowaliby,verb,pl
zahuczeć,verb,pl
semantyka,noun,pl
towarzyszyć,verb,pl
schlany,adj,pl
pulasz,verb,pl
publikowaliśmy,verb,pl
szczekając,verb,pl
alergią,noun,pl
łamalibyście,verb,pl
warkocz,verb,pl
kredytodawca,noun,pl
mulczowało,verb,pl
pieniędzmi,noun,pl
posiadanie,noun,pl
trawersować,verb,pl
niebóracek,noun,pl
zapominano,verb,pl
rosikoń,noun,pl
dzielny,adj,pl
kosztując,verb,pl
alkoholiczny,adj,pl
skarpetkami,noun,pl
czarem,noun,pl
miesić,verb,pl
przezroczystymi,adj,pl
odcedzić,verb,pl
morela,noun,pl
refowałbyś,verb,pl
wonny,adj,pl
piecom,noun,pl
hazard,noun,pl
reprezentowanie,noun,pl
wyprasować,verb,pl
kopeć,noun,pl
załamywać,verb,pl
straw,verb,pl
gurba,noun,pl
siadałabyś,verb,pl
skale,noun,pl
acetal,noun,pl
szczególe,noun,pl
zafascynować,verb,pl
pegeer,noun,pl
chatyna,noun,pl
jelicie,noun,pl
żywiecki,adj,pl
tupnięcie,noun,pl
sprawdzaj,verb,pl
niedopałek,noun,pl
pierdolić,verb,pl
pomiń,verb,pl
gwarancjami,noun,pl
bezwładnie,adv,pl
proszczak,noun,pl
moglibyście,verb,pl
notujące,verb,pl
orzekanie,noun,pl
styropian,noun,pl
zwinnie,adv,pl
antykwariusz,noun,pl
pszenicznych,adj,pl
pralinka,noun,pl
onomastyka,noun,pl
narciarskim,adj,pl
mendo,noun,pl
ciemnota,noun,pl
kolorowa,adj,pl
pączkiem,noun,pl
głosowałbym,verb,pl
woalka,noun,pl
ny,noun,pl
robionymi,verb,pl
aferkom,noun,pl
bezprocentowy,adj,pl
pęcie,noun,pl
siedemdziesięcioro,num,pl
suita,noun,pl
licealny,adj,pl
włócz,verb,pl
społeczny,adj,pl
tobół,noun,pl
cielętami,noun,pl
katarynkami,noun,pl
lenijáł,noun,pl
słodko,adv,pl
musi,adj,pl
wschodniosłowiańskiemu,adj,pl
wypalę,verb,pl
bankietować,verb,pl
sowitemu,adj,pl
mychy,noun,pl
sisiak,noun,pl
popieprzony,adj,pl
barwiarka,noun,pl
analogon,noun,pl
wyśpi,verb,pl
ałłachowanie,noun,pl
ściśnięty,verb,pl
gilgotać,verb,pl
naczynko,noun,pl
autodydaktyczność,noun,pl
brzuszek,noun,pl
zapominałbym,verb,pl
postarzają,verb,pl
słano,verb,pl
inflacje,noun,pl
wradzać,verb,pl
spowiedniczka,noun,pl
druga,noun,pl
golizna,noun,pl
rozmydlić,verb,pl
ripostowanie,noun,pl
sygnaturę,noun,pl
płodny,adj,pl
dziś,adv,pl
mających,verb,pl
układzik,noun,pl
trąciła,verb,pl
znające,verb,pl
ścieżki,noun,pl
zdezelowany,verb,pl
dostała,verb,pl
antypolonizm,noun,pl
browek,noun,pl
abordażom,noun,pl
realizowałby,verb,pl
latałybyście,verb,pl
dwudziestym,num,pl
zgliszcze,noun,pl
esencyj,noun,pl
daleko,adv,pl
interwale,noun,pl
adwersant,noun,pl
obartelek,noun,pl
oglądam,verb,pl
mielibyście,verb,pl
rapir,noun,pl
podczas,adv,pl
chętnych,adj,pl
kpili,verb,pl
prezent,noun,pl
osiemdziesięcioro,num,pl
lęgach,noun,pl
analizującej,verb,pl
najedź,verb,pl
królówkę,noun,pl
szczęśliwie,adv,pl
zasłużenie,noun,pl
ześwirować,verb,pl
chyb,verb,pl
miejscom,noun,pl
łachcący,adj,pl
zastygły,adj,pl
odkaszlnąć,verb,pl
zgadzać,verb,pl
pakistańska,adj,pl
abonowałybyśmy,verb,pl
paczce,noun,pl
kablować,verb,pl
uśniemy,verb,pl
jordańscy,adj,pl
manilska,adj,pl
łyżwiarka,noun,pl
cienkopis,noun,pl
adekwatnością,noun,pl
błonami,noun,pl
wypito,verb,pl
kluchów,noun,pl
hamujące,verb,pl
nabawiać,verb,pl
schorzały,verb,pl
zgryź,verb,pl
ogniotrwały,adj,pl
przekornik,noun,pl
dziewięćsetnym,num,pl
autonomizowałby,verb,pl
rozentuzjazmować,verb,pl
bośniaccy,adj,pl
derdać,verb,pl
smug,noun,pl
osądza,verb,pl
zaczynanie,noun,pl
fascynować,verb,pl
sromy,noun,pl
toskańskiej,adj,pl
tęczowanie,noun,pl
gnida,noun,pl
jeźdźczyni,noun,pl
ciężarówek,noun,pl
piono,noun,pl
oglądające,verb,pl
absorbująca,verb,pl
altruistycznie,adv,pl
kolana,noun,pl
kirgiskie,adj,pl
poronieniom,noun,pl
ujrzą,verb,pl
planował,verb,pl
zumba,noun,pl
ciemnia,noun,pl
atestacyjny,adj,pl
wieściach,noun,pl
osłomuł,noun,pl
wazy,noun,pl
zamykający,verb,pl
maniery,noun,pl
mowność,noun,pl
ranach,noun,pl
cięższe,adj,pl
cieczy,noun,pl
łosimi,adj,pl
najszybszy,adj,pl
domatorstwu,noun,pl
kochanieńka,adj,pl
osmańsko-tureckiego,adj,pl
wybierające,verb,pl
odpisać,verb,pl
łon,noun,pl
natarcia,noun,pl
wydaną,verb,pl
jaworznickiemu,adj,pl
przypadek,noun,pl
przekładowo,adv,pl
tułaj,verb,pl
pałam,verb,pl
bębnię,verb,pl
stromym,adj,pl
pępuszek,noun,pl
żartujący,verb,pl
przystanek,noun,pl
wiejski,adj,pl
mszałowi,noun,pl
trzepnięty,adj,pl
wielbicieli,noun,pl
aleksandrowscy,adj,pl
obrażalibyśmy,verb,pl
belkom,noun,pl
szyderczo,adv,pl
piałeś,verb,pl
pofruniecie,verb,pl
alkoholista,noun,pl
zarchiwizowanymi,verb,pl
abdykowanie,noun,pl
zlata,verb,pl
dusi,verb,pl
muzyki,noun,pl
nadmiarowej,adj,pl
opałką,noun,pl
tysiączne,num,pl
faszysta,noun,pl
wracasz,verb,pl
zakrztusić,verb,pl
wyzwać,verb,pl
złowrogi,adj,pl
poawanturowanie,noun,pl
cisem,noun,pl
zębatek,noun,pl
wracały,verb,pl
wołoski,adj,pl
nadużywaj,verb,pl
wiwiórka,noun,pl
anielętom,noun,pl
istna,adj,pl
planowałbym,verb,pl
stracie,noun,pl
ubiegłego,adj,pl
udławienie,noun,pl
autoironizowalibyśmy,verb,pl
karaimskimi,adj,pl
miń,verb,pl
przeanalizowana,verb,pl
miał,verb,pl
zalogowałybyśmy,verb,pl
francuskie,adj,pl
ostrzami,noun,pl
schrustać,verb,pl
kleszczyna,noun,pl
frajda,noun,pl
nazwisku,noun,pl
nieistotny,adj,pl
zagwarantowywać,verb,pl
parchowaty,adj,pl
żubroń,noun,pl
kwiat,noun,pl
telebimie,noun,pl
naprzód,intj,pl
brzydkiemu,adj,pl
feniks,noun,pl
diabełkami,noun,pl
łycha,noun,pl
westybul,noun,pl
demontowanie,noun,pl
ciepławy,adj,pl
jeleni,adj,pl
karczychom,noun,pl
lesba,noun,pl
klikałbyś,verb,pl
wytrawny,adj,pl
odpowiednikowy,adj,pl
absurdysty,noun,pl
głuszek,noun,pl
życzliwość,noun,pl
młyński,adj,pl
korzą,verb,pl
główny,adj,pl
sfruwanie,noun,pl
czochranie,noun,pl
upali,verb,pl
bidni,adj,pl
beztroski,noun,pl
oczeretowi,noun,pl
głazie,noun,pl
podwoje,noun,pl
średniej,adj,pl
huculskiej,adj,pl
biał,adj,pl
uszywiście,particle,pl
rozglądać,verb,pl
ciepłej,adj,pl
znajdowano,verb,pl
siła,adv,pl
somalijską,adj,pl
robiłoś,verb,pl
przecinak,noun,pl
wieża,noun,pl
obiecajcie,verb,pl
cukrownia,noun,pl
klęta,verb,pl
obłu,noun,pl
zasługuje,verb,pl
murom,noun,pl
sil,verb,pl
zaczynający,verb,pl
modliszkom,noun,pl
busz,noun,pl
szefostwo,noun,pl
klaczka,noun,pl
bigamia,noun,pl
zabić,verb,pl
sterczeć,verb,pl
posrać,verb,pl
fanserwis,noun,pl
określony,adj,pl
zemścić,verb,pl
chłapnięcie,noun,pl
prawdziwka,noun,pl
pudłowali,verb,pl
absorbowałyśmy,verb,pl
samosterujący,adj,pl
obciążałeś,verb,pl
babimór,noun,pl
archipelag,noun,pl
oścież,noun,pl
negacja,noun,pl
strużesz,verb,pl
abuzywność,noun,pl
rowku,noun,pl
mazane,verb,pl
podsuwać,verb,pl
enigmatyczny,adj,pl
całkowy,adj,pl
wywalcz,verb,pl
soundtrack,noun,pl
trzeźwo,adv,pl
belferstwo,noun,pl
kałmuckich,adj,pl
partyj,noun,pl
klimaksach,noun,pl
didżejka,noun,pl
uzupełniać,verb,pl
tradycjonalny,adj,pl
koniuszyna,noun,pl
opilstwo,noun,pl
małpkę,noun,pl
tunezyjskiej,adj,pl
otrąb,noun,pl
dostrzec,verb,pl
aprecjacyjny,adj,pl
defilowałabym,verb,pl
wskazujący,verb,pl
lando,noun,pl
różańcowy,adj,pl
robaczej,adj,pl
odkrywały,verb,pl
zadom,noun,pl
składałaś,verb,pl
adwerbialnie,adv,pl
knecht,noun,pl
pierwszoligowy,adj,pl
porwać,verb,pl
barweno,noun,pl
wynajmowałyście,verb,pl
zimbabweński,adj,pl
rezerwa,noun,pl
podchorąży,noun,pl
kapie,verb,pl
krwiomocz,noun,pl
pokuta,noun,pl
powolną,adj,pl
myło,verb,pl
atrament,noun,pl
rysujące,verb,pl
mszałami,noun,pl
ekspresowy,adj,pl
piwami,noun,pl
leniwie,adv,pl
studniówkę,noun,pl
błagałeś,verb,pl
tytoń,noun,pl
bacuj,verb,pl
robiłobyś,verb,pl
pomorskim,adj,pl
sporowi,noun,pl
nowelatka,noun,pl
pawie,adj,pl
zdementowałam,verb,pl
komentowałabym,verb,pl
fagot,noun,pl
powieściopisarz,noun,pl
frisbee,noun,pl
biedo,noun,pl
długas,noun,pl
burzę,verb,pl
przeprowadzacie,verb,pl
nadepnąć,verb,pl
pękowi,noun,pl
juka,noun,pl
zabalować,verb,pl
schli,verb,pl
białoskórnictwo,noun,pl
świeć,verb,pl
dzielą,verb,pl
wróżę,verb,pl
wodospadowi,noun,pl
szczękanie,noun,pl
instygować,verb,pl
kichami,noun,pl
kontrolowałoby,verb,pl
zbieraj,verb,pl
podległy,adj,pl
nakaz,noun,pl
ichtiolog,noun,pl
wymogą,verb,pl
ugoń,verb,pl
stałyśmy,verb,pl
troposfera,noun,pl
dopal,verb,pl
lasko,noun,pl
żydzieć,verb,pl
greckich,adj,pl
dozoru,noun,pl
typiara,noun,pl
ululani,verb,pl
helski,adj,pl
wymiotowaliśmy,verb,pl
błyskawica,noun,pl
luki,noun,pl
prostokąt,noun,pl
szminka,noun,pl
zjednoczoną,adj,pl
wkręt,noun,pl
niekompletny,adj,pl
strupy,noun,pl
mineralog,noun,pl
bulodrom,noun,pl
słodka,adj,pl
annały,noun,pl
morda,noun,pl
abbatyssa,noun,pl
zajmowałaś,verb,pl
ośkoła,noun,pl
zapałać,verb,pl
sherry,noun,pl
pamiętajmy,verb,pl
spisz,verb,pl
skąpym,adj,pl
klaustrofobiczny,adj,pl
wyplewiać,verb,pl
gruszkowy,adj,pl
fajeczka,noun,pl
cięgle,noun,pl
sowietolog,noun,pl
nawijarka,noun,pl
łydkę,noun,pl
abonował,verb,pl
ewenkijskiego,adj,pl
niespieszny,adj,pl
pikantność,noun,pl
pośrodku,prep,pl
skrzelotchawkom,noun,pl
rasistowscy,adj,pl
napojem,noun,pl
oparte,verb,pl
biletować,verb,pl
plotkujemy,verb,pl
grawerowano,verb,pl
słonia,adj,pl
tapiseria,noun,pl
rąbiez,noun,pl
rzekę,verb,pl
andronami,noun,pl
barciel,noun,pl
jadem,noun,pl
konwekcya,noun,pl
ciuła,verb,pl
gustować,verb,pl
koleśny,adj,pl
rędziny,noun,pl
odpowiadałem,verb,pl
oczojebny,adj,pl
tyryjski,adj,pl
bezczeszczącymi,verb,pl
zdiagnozował,verb,pl
ogłada,noun,pl
patrz,verb,pl
drukował,verb,pl
ladach,noun,pl
zróbek,noun,pl
ciach,noun,pl
zwykłe,adj,pl
samurajski,adj,pl
radioizotop,noun,pl
liczyłam,verb,pl
krawiota,noun,pl
sprzątałbym,verb,pl
nieumiejętność,noun,pl
bagniak,noun,pl
żerty,adj,pl
gnój,verb,pl
sinicę,noun,pl
konfidentka,noun,pl
krasnym,adj,pl
zimowit,noun,pl
czechło,noun,pl
zajmujący,verb,pl
uzwojenie,noun,pl
oglądałybyśmy,verb,pl
zdugować,verb,pl
latałaby,verb,pl
lantanowiec,noun,pl
chybiony,adj,pl
upakowanie,noun,pl
musiałbyś,verb,pl
choropiać,verb,pl
wyro,noun,pl
banalnością,noun,pl
sterta,noun,pl
alergia,noun,pl
acylowanie,noun,pl
kwita,intj,pl
łabędziątko,noun,pl
różdżka,noun,pl
opielenie,noun,pl
gwarancję,noun,pl
przeczka,noun,pl
okrętowy,adj,pl
uwielbiajcie,verb,pl
żyłabyś,verb,pl
wymacać,verb,pl
jebnąć,verb,pl
księgować,verb,pl
cudacznie,adv,pl
przypilnował,verb,pl
pilchu,noun,pl
burundyjscy,adj,pl
antybioza,noun,pl
powrót,noun,pl
podkreślenia,noun,pl
prowansalski,adj,pl
kępkę,noun,pl
majteczki,noun,pl
bezawaryjnie,adv,pl
klatkom,noun,pl
antropologizm,noun,pl
istniałaś,verb,pl
dostatniemu,adj,pl
wznów,verb,pl
adwentystkom,noun,pl
poprzednimi,adj,pl
erem,noun,pl
wspominacie,verb,pl
antykwarski,adj,pl
befsztyk,noun,pl
łódzkie,adj,pl
sprężystość,noun,pl
powolnych,adj,pl
opońcyk,noun,pl
siostrzany,adj,pl
karakałpackich,adj,pl
srokaci,adj,pl
znalezienia,noun,pl
czyścioch,noun,pl
siwuch,noun,pl
fenek,noun,pl
zjebać,verb,pl
tokiem,noun,pl
nakaże,verb,pl
asystami,noun,pl
kwirl,noun,pl
ślazówka,noun,pl
lęgniesz,verb,pl
ług,noun,pl
absencyja,noun,pl
wypracowywać,verb,pl
ściemnieć,verb,pl
michą,noun,pl
bezkarnym,adj,pl
postulować,verb,pl
gulo,noun,pl
zarchiwizowane,verb,pl
unij,noun,pl
starcami,noun,pl
kępko,noun,pl
informowanie,noun,pl
sokratyczny,adj,pl
najzimniejszy,adj,pl
forteca,noun,pl
rewalidacja,noun,pl
snęła,verb,pl
wilczur,noun,pl
mebelek,noun,pl
dowóz,noun,pl
kiepskiemu,adj,pl
trzepot,noun,pl
poprawki,noun,pl
urologia,noun,pl
nimfomanką,noun,pl
lolkontent,noun,pl
zieję,verb,pl
kiedy,conj,pl
kurzy,verb,pl
leżach,noun,pl
cyrograf,noun,pl
przebijałyście,verb,pl
ofiarowywać,verb,pl
zmiotać,verb,pl
wysłał,verb,pl
czciciela,noun,pl
wrona,noun,pl
wymagajcie,verb,pl
frakom,noun,pl
poręczanie,noun,pl
hotelów,noun,pl
numerantka,noun,pl
klisza,noun,pl
fochom,noun,pl
dmuchałby,verb,pl
lokówko,noun,pl
cierny,adj,pl
zmieniające,verb,pl
zerowego,num,pl
ekwilibrysta,noun,pl
arytmogenny,adj,pl
czambuł,noun,pl
sześćświetnik,noun,pl
wspaniała,adj,pl
drobiazgowo,adv,pl
czcicielkami,noun,pl
slupami,noun,pl
zamatować,verb,pl
jest,verb,pl
dezodorantu,noun,pl
inicjatorka,noun,pl
legają,verb,pl
pracownikowi,noun,pl
jadłami,noun,pl
wynajmowałaby,verb,pl
kęsowi,noun,pl
wyeksplikować,verb,pl
obalalibyśmy,verb,pl
zagrywać,verb,pl
aperturowy,adj,pl
chasyd,noun,pl
abderytkom,noun,pl
wyrozub,noun,pl
aramejska,adj,pl
rogu,noun,pl
narty,noun,pl
rębnia,noun,pl
antyneutron,noun,pl
łodzik,noun,pl
aprowizator,noun,pl
błahostce,noun,pl
głosowałam,verb,pl
doprowadzanie,noun,pl
drętwa,adj,pl
stolico,noun,pl
zasłynąć,verb,pl
rzutkami,noun,pl
domarznięcie,noun,pl
tadżyckiego,adj,pl
prochowi,adj,pl
słuchawkach,noun,pl
opłakuje,verb,pl
rychawka,noun,pl
grackowy,adj,pl
przyprawiajmy,verb,pl
miernik,noun,pl
uzmysławiać,verb,pl
warstwowy,adj,pl
zmiażdżenie,noun,pl
przytulałyście,verb,pl
ważką,adj,pl
podpowiadacz,noun,pl
mał,adj,pl
gogać,verb,pl
ładowałyby,verb,pl
sąsiedzki,adj,pl
mirt,noun,pl
najlepsza,adj,pl
pełne,adj,pl
zdubbingowałam,verb,pl
deklarowanie,noun,pl
dziadek,noun,pl
wznieć,verb,pl
przymawianie,noun,pl
błahostkę,noun,pl
uwielbialibyśmy,verb,pl
rysowała,verb,pl
wpaść,verb,pl
teraj,verb,pl
palaczek,noun,pl
żmudny,adj,pl
nieregularnie,adv,pl
skrzypce,noun,pl
dzikiego,adj,pl
tanzańskie,adj,pl
szrutarka,noun,pl
ustawką,noun,pl
dalszy,adj,pl
grawerujcie,verb,pl
sześćsetnym,num,pl
ancyzny,noun,pl
sokołem,noun,pl
kolekcjonując,verb,pl
były,noun,pl
wołkach,noun,pl
ludowi,adj,pl
rżałaś,verb,pl
górkami,noun,pl
ramowy,adj,pl
rety,noun,pl
kopce,noun,pl
słuchaliście,verb,pl
uciekali,verb,pl
szynobus,noun,pl
wojska,noun,pl
lubież,noun,pl
ciesielski,adj,pl
pospolitymi,adj,pl
bose,adj,pl
